institucion_id,direccion,municipio,departamento,latitud,longitud
1,Avenida Boyaca 142 A 55,Bogota,Cundinamarca,4.6533817,-74.0836331
2,,,,,
3,Carrera 95 # 76-24 - CALLE 72A # 94A 50,Bogota,Cundinamarca,4.6533817,-74.0836331
4,Calle 44 No. 35C  02,Villavicencio,,4.1114594,-73.4967836
5,CR. 15 16-01,Tunja,,5.5324313,-73.3616014
6,KA 12 41 69,Bucaramanga,,7.1669842,-73.1047294
7,Calle 7 No. 6E-22,Cucuta,,8.0776187,-72.4689002
8,Calle 28 N 5 51,Valledupar,,10.3431115,-73.3757934
9,CRA 16 C 9A 91,Santa Marta,,11.2320944,-74.1950916
10,Calle 30 No 30 - 152,Soledad,,10.9099529,-74.7919847
11,Diagonal 32 No. 85-158,Cartagena,,10.4040333,-75.4837731
12,CR 26 N¿ 12-27,Sincelejo,,9.2973386,-75.3926601
13,kilometro 5 carretera via cerete,Monteria,,8.7509361,-75.8786806
14,Carrera 45 N¿ 22D - 184,Bello,,6.334997,-75.5582665
15,Carrera 1 No. 39 - 23 Candido Leguizamo,Neiva,,3.0332554,-75.2794303
16,Carrera 48 Sur Nº157-199 Sector Picaleña,Ibagué,,4.4386033,-75.2108857
17,calle 67 carrera 12 esquina,Manizales,,5.0743694,-75.5081167
18,CARRERA 8 # 40-65,Pereira,,4.8158313,-75.7119101
19,Kilometro 1.5 Via Aeropuerto El Eden,Armenia,,4.4919761,-75.7413509
20,CALLE 62 NRO 6N - 31,Cali,,3.4108435,-76.5812127
21,CALLE 8 18 78 BARRIO LA ESMERALDA,Popayán,,2.4422295,-76.6072368
22,Calle 2 Sur 33 19,Pasto,,1.2080706,-77.2890299
