hecho_id	institucion_id	fecha_id	valor_lote	Recursos humanos	Resp. De Ingresos	INGRESOS	INGRESOS DE OPERACIÓN (2-6)	Valor anual servicio educativo (3+4+5)	INGRESOS POR OTROS COBROS	TOTAL INGRESOS (1+9)	EGRESOS	INGRESOS NO OPERACIONALES
1	1	2024	8239957677.0	0.0	1.0	0.0	1897766413.0	1927259133.0	0.0	1897766413.0	0.0	0.0
2	2	2024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	3	2024	21073027312.0	0.0	1.0	0.0	333415955.0	367524666.0	0.0	33341595.0	0.0	0.0
4	4	2024	0.0	0.0	1.0	0.0	715317975.0	752290911.0	1876634.0	717194609.0	0.0	0.0
5	5	2024	3607056000.0	0.0	0.0	0.0	562602385.0	574266123.0	0.0	562602385.0	0.0	0.0
6	6	2024	5498843000.0	0.0	1.0	0.0	1033484589.0	1045882397.0	0.0	1033484589.0	0.0	0.0
7	7	2024	7053255900.0	0.0	1.0	0.0	694809314.0	713826500.0	1757595.0	696566909.0	0.0	0.0
8	8	2024	4015463939.0	0.0	1.0	0.0	751346984.0	767277368.0	2430684.0	753777668.0	0.0	0.0
9	9	2024	0.0	0.0	0.0	0.0	886172488.0	909345422.0	0.0	886172488.0	0.0	0.0
10	10	2024	25027222517.0	0.0	0.0	0.0	1705922114.0	1709952720.0	4030606.0	1709952720.0	0.0	0.0
11	11	2024	12505474286.0	0.0	1.0	0.0	547150314.0	57599702.0	1606944.0	548757258.0	0.0	0.0
12	12	2024	2061648000.0	0.0	0.0	0.0	479705992.0	483505992.0	0.0	479705992.0	0.0	0.0
13	13	2024	4928695000.0	1.0	0.0	0.0	362533303.0	366867976.0	0.0	362533303.0	0.0	0.0
14	14	2024	7485586289.0	0.0	2.0	0.0	886172488.0	909345422.0	5898122.0	892070610.0	0.0	0.0
15	15	2024	613240000.0	0.0	1.0	0.0	654439105.0	703061011.0	2745911.0	657185016.0	0.0	0.0
16	16	2024	18201199724.0	0.0	1.0	0.0	725134672.0	754042322.0	3264105.0	728398777.0	0.0	0.0
17	17	2024	0.0	0.0	0.0	0.0	390108507.0	404901491.0	0.0	390108507.0	0.0	0.0
18	18	2024	2945505000.0	0.0	0.0	0.0	962784321.0	986206497.0	3897801.0	966682122.0	0.0	0.0
19	19	2024	866326037755.0	0.0	0.0	0.0	549466171.0	565335808.0	1556727.0	551022898.0	0.0	0.0
20	20	2024	34956129676.0	0.0	0.0	0.0	4510212938.0	4534167952.0	0.0	4510212938.0	0.0	0.0
21	21	2024	0.0	0.0	1.0	0.0	619325796.0	632367533.0	1982599.0	621308395.0	0.0	0.0
22	22	2024	3559178294.0	0.0	0.0	0.0	633856333.0	653029005.0	0.0	633856333.0	0.0	0.0
